"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-12","0.63","0.0","0.0",,"68","46","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-13","0.24","0.0","0.0",,"77","59","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-14","0.01","0.0","0.0",,"73","60","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-15","0.96","0.0","0.0",,"65","46","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-16","0.00","0.0","0.0",,"66","44",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-17","0.01","0.0","0.0",,"63","48",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-18","0.00","0.0","0.0",,"62","51",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-19","0.01","0.0","0.0",,"80","58","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-20","0.70","0.0","0.0",,"64","55",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-21","0.00","0.0","0.0",,"66","53",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-22","0.24","0.0","0.0",,"64","52","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-23","0.08","0.0","0.0",,"77","56","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-24","0.00","0.0","0.0",,"69","55",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-25","0.02","0.0","0.0",,"66","48",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-26","1.03","0.0","0.0",,"59","51","    1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-27","0.07","0.0","0.0",,"58","47","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-28","0.01","0.0","0.0",,"53","45",,,,,,
